Year,Month,Extracted,In-Situ
2006,January,1.278,1.437892622
2006,February,1.1106,1.241113918
2006,March,0.9108,0.932595305
2006,April,0.7848,0.763310863
2006,May,0.747,0.704858976
2006,June,0,0.719325965
2006,July,0.729,0.788061848
2006,August,0,0.863398451
2006,September,1.5786,1.245043355
2006,October,1.6605,1.662833117
2006,November,1.6785,1.749502506
2006,December,1.665,1.697955584
2007,January,1.6002,1.5511597
2007,February,1.2906,1.296341512
2007,March,1.179,1.101822007
2007,April,0.9558,0.940010804
2007,May,0.3276,0.738463195
2007,June,0,0.622759465
2007,July,0,0.658420722
2007,August,0,0.978284546
2007,September,1.6974,1.604204303
2007,October,1.6866,1.836995661
2007,November,1.5111,1.857552754
2007,December,1.71,1.854350596
2008,January,1.6101,1.803713198
2008,February,1.5399,1.617472003
2008,March,1.0602,1.3414825
2008,April,0.7542,1.019105596
2008,May,0.5292,0.81157879
2008,June,0,0.714502286
2008,July,0,0.649767742
2008,August,0,0.70084093
2008,September,0.7524,0.862043009
2008,October,1.2267,1.046192654
2008,November,1.2699,1.148396043
2008,December,1.224,1.139561266
2009,January,1.1349,0.993491498
2009,February,0.9981,0.888395949
2009,March,0.7821,0.770674645
2009,April,0.3528,0.709881533
2009,May,0.4914,0.713899579
2009,June,0.5994,0.710685142
2009,July,0,0.708877022
2009,August,0.4617,0.882146574
2009,September,1.3968,1.258091729
2009,October,1.4238,1.399227609
2009,November,1.4346,1.439925401
2009,December,1.4724,1.416662815
2010,January,1.3788,1.307463691
2010,February,1.2213,1.154157855
2010,March,1.0449,1.00739184
2010,April,0.3843,0.839189221
2010,May,0.6336,0.731856294
2010,June,0.7011,0.669028139
2010,July,0,0.697023787
2010,August,0,0.767490307
2010,September,0,1.070142804
2010,October,1.4418,1.484055463
2010,November,1.2699,1.589132571
2010,December,1.566,1.591917864
2011,January,1.4364,1.526495718
2011,February,1.4553,1.414388658
2011,March,1.2888,1.263704464
2011,April,0.9441,1.014154168
2011,May,0.027,0.852968711
2011,June,0.5616,0.803115061
2011,July,0,1.028919747
2011,August,1.4778,1.491399119
2011,September,0.8244,1.75967695
2011,October,1.6353,1.848837852
2011,November,1.5975,1.862174508
2011,December,1.6092,1.858349608
2012,January,1.5462,1.840058296
2012,February,1.6857,1.790987269
2012,March,1.1277,1.587540975
2012,April,1.0422,1.256440925
2012,May,0.675,0.93074143
2012,June,0.0009,0.801703823
2012,July,0,0.865134389
2012,August,0,1.139177145
2012,September,1.0764,1.477895396
2012,October,1.3221,1.719818018
2012,November,1.6038,1.842916756
2012,December,1.5048,1.859465204
2013,January,1.6425,1.843733459
2013,February,1.6812,1.808380529
2013,March,1.4238,1.713327608
2013,April,0.459,1.459090981
2013,May,1.0296,1.193336557
2013,June,0.9306,1.12656253
2013,July,0,1.297886259
2013,August,0.3582,1.531120215
2013,September,1.656,1.694881179
2013,October,1.4859,1.807447063
2013,November,1.7199,1.852513015
2013,December,1.7244,1.861855766
2014,January,1.7244,1.859624575
2014,February,1.7163,1.834755809
2014,March,1.6911,1.736197464
2014,April,1.3995,1.579185095
2014,May,1.1889,1.338025492
2014,June,0.342,1.1568467
2014,July,0,1.197657663
2014,August,0,1.419315998
2014,September,1.6596,1.662538807
2014,October,1.71,1.804646665
2014,November,1.7163,1.856188178
2014,December,1.6722,1.862971362
2015,January,1.5912,1.863290104
2015,February,1.5903,1.842712581
2015,March,1.7091,1.815381526
2015,April,1.4391,1.78153639
2015,May,0,1.632160389
2015,June,1.3626,1.387477796
2015,July,0.927,1.279882346
2015,August,0,1.567646022
2015,September,1.5642,1.567646022
2015,October,1.6758,1.684023414
2015,November,1.7181,1.744806609
2015,December,1.7514,1.778487719
2016,January,1.7487,1.77421958
2016,February,1.6929,1.664598975
2016,March,1.5867,1.520329722
2016,April,1.3671,1.383318589
2016,May,0.7461,1.110657908
2016,June,0.9882,0.965667324
2016,July,0,1.027742049
2016,August,0,1.25445996
2016,September,1.5822,1.464278406
2016,October,1.6128,1.568839719
2016,November,1.683,1.638423699
2016,December,1.6956,1.666070524
2017,January,1.6974,1.653932849
2017,February,1.6011,1.57281871
2017,March,1.4787,1.429422707
2017,April,1.2807,1.244650411
2017,May,1.0341,1.015656908
2017,June,0,0.904965415
2017,July,1.044,0.917695747
2017,August,0.0009,1.162608511
2017,September,1.5957,1.454832451
2017,October,1.6542,1.579980893
2017,November,1.692,1.646476527
2017,December,1.6938,1.677548601
2018,January,1.7181,1.67872584
2018,February,1.6938,1.649459056
2018,March,1.5912,1.539213084
2018,April,1.3887,1.365367286
2018,May,0.9846,1.198953995
2018,June,0.9342,1.066278079
2018,July,0,1.14647544
2018,August,0,1.41514671
2018,September,1.6686,1.6333534
2018,October,1.7019,1.72084282
2018,November,1.7163,1.761242249
2018,December,1.7469,1.775134182
2019,January,1.7424,1.756937676
2019,February,1.7424,1.720501219
2019,March,1.7199,1.710594804
2019,April,1.5444,1.653932849
2019,May,1.1448,1.463954192
2019,June,0.5616,1.23482682
2019,July,0,1.463954192
2019,August,0,1.709228401
2019,September,0.9135,1.650055562
2019,October,1.7073,1.751850455
2019,November,1.746,1.779097453
2019,December,1.6749,1.664598975
2020,January,1.6587,1.521871221
2020,February,1.6524,1.432810673
2020,March,1.6254,1.388614875
2020,April,1.4265,1.338371193
2020,May,1.0386,1.278891863
2020,June,0,1.112425088
2020,July,0.6192,1.100054827
2020,August,0,1.385582665
2020,September,1.6308,1.511736791
2020,October,1.7163,1.624737649
2020,November,1.7109,1.716060412
2020,December,1.7532,1.674899814
